,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,end_latlng,external_id
0,14300568524,Evening Run,2025-04-27T20:34:01Z,Run,6333.5,2390,2433,125.3,"[-35.253438, 149.076588]",garmin_ping_433084038983
1,14271955184,Night Run,2025-04-24T21:28:14Z,Run,10530.9,3907,3969,146.8,"[-35.255421, 149.076487]",garmin_ping_432167903491
2,14241323376,Night Run,2025-04-21T21:43:06Z,Run,1556.9,873,967,16.2,"[-35.253781, 149.074827]",garmin_ping_431204903691
3,14241001530,Evening Run,2025-04-21T20:53:19Z,Run,6130.1,2175,2188,71.1,"[-35.256199, 149.076909]",garmin_ping_431197752772
4,14220755082,Evening Run,2025-04-19T19:09:07Z,Run,8385.8,3081,3187,64.6,"[-35.255556, 149.076588]",garmin_ping_430567742192
5,14202796392,Night Run,2025-04-17T21:21:11Z,Run,6005.0,2470,2510,67.0,"[-35.255929, 149.076846]",garmin_ping_429963787019
6,14153239731,Evening Run,2025-04-12T18:18:16Z,Run,15046.3,5616,5789,59.9,"[-35.275483, 149.118671]",garmin_ping_428331530019
7,14143517339,Afternoon Ride,2025-04-11T17:20:27Z,Ride,7184.8,2022,2097,167.1,"[-35.255936, 149.07667]",garmin_ping_427995819326
8,14084847476,Evening Run,2025-04-05T20:14:12Z,Run,2300.4,908,928,36.6,"[-35.255529, 149.076587]",garmin_ping_426096222103
9,14084451507,Evening Run,2025-04-05T18:44:28Z,Run,10028.7,3685,3805,39.8,"[-35.236107, 149.068234]",garmin_ping_426087758320
10,14016434656,lol,2025-03-29T12:34:45Z,Ride,2447.9,1469,1796,7.4,"[1.2808, 103.844657]",garmin_ping_423771084147
11,13959532097,It's just like riding a bike,2025-03-23T09:56:01Z,Ride,21828.4,7112,11144,364.2,"[-35.25597, 149.076711]",garmin_ping_421840450619
12,13933920286,Evening Run,2025-03-20T19:33:06Z,Run,6821.1,2675,2721,53.1,"[-35.255805, 149.076704]",garmin_ping_421029599533
13,13905369480,Evening Run,2025-03-17T19:51:53Z,Run,7204.2,2916,3020,70.5,"[-35.252549, 149.072671]",garmin_ping_420119449388
14,13828517088,Lunch Run,2025-03-09T11:15:47Z,Run,4802.9,2802,2949,86.4,"[-35.256136, 149.076967]",garmin_ping_417617522305
15,13765936426,Evening Run,2025-03-02T20:18:10Z,Run,4124.9,2007,2208,45.7,"[-35.255949, 149.076719]",garmin_ping_415637728645
16,13684934553,Evening Run,2025-02-21T19:51:37Z,Run,3537.0,1729,1803,48.9,"[-35.254968, 149.076211]",garmin_ping_412947128670
17,13639402100,Evening Run,2025-02-16T18:09:21Z,Run,11545.4,4183,4250,85.4,"[-35.255056, 149.076287]",garmin_ping_411491609439
18,13544200723,Evening Run,2025-02-05T18:13:31Z,Run,7901.3,3253,3352,88.9,"[-35.255869, 149.076523]",garmin_ping_408397459979
19,13477434637,Afternoon Run,2025-01-28T13:39:41Z,Run,10062.8,3947,3947,146.9,"[36.474174, -82.504371]",garmin_ping_406260407608
20,13452635970,Afternoon Run,2025-01-25T17:17:51Z,Run,8128.0,3405,3450,130.7,"[36.474024, -82.505062]",garmin_ping_405449872493
21,13382295718,Afternoon Run,2025-01-17T15:55:38Z,Run,9507.1,3980,4017,148.1,"[36.474188, -82.504378]",garmin_ping_403210144242
22,13346952248,Afternoon Run,2025-01-13T15:43:32Z,Run,7343.0,3031,3052,143.2,"[36.474487, -82.504511]",garmin_ping_402084738605
23,13292790465,Afternoon Run,2025-01-07T13:10:26Z,Run,7783.3,3346,3399,102.1,"[36.474079, -82.50513]",garmin_ping_400335991483
24,13241874500,Afternoon Run,2025-01-01T16:14:06Z,Run,6103.1,2673,2673,112.0,"[36.474294, -82.504407]",garmin_ping_398564522027
